2023-08-07 19:13:49,056 sMRI, param size = 0.089 MB
2023-08-07 19:14:54,981 ******* Epoch 32, Train Loss MSE 40.71, Train MAE 6.68 *******
2023-08-07 19:14:54,981 ******* Epoch 32, Val Loss MSE 46.45, Val MAE 6.96 *******
2023-08-07 19:14:57,128 ******* Epoch 33, Train Loss MSE 47.43, Train MAE 7.09 *******
2023-08-07 19:14:57,128 ******* Epoch 33, Val Loss MSE 49.39, Val MAE 6.99 *******
2023-08-07 19:14:59,168 ******* Epoch 34, Train Loss MSE 41.86, Train MAE 6.68 *******
2023-08-07 19:14:59,168 ******* Epoch 34, Val Loss MSE 43.50, Val MAE 6.88 *******
2023-08-07 19:15:01,044 ******* Epoch 35, Train Loss MSE 45.40, Train MAE 7.05 *******
2023-08-07 19:15:01,045 ******* Epoch 35, Val Loss MSE 63.07, Val MAE 8.60 *******
2023-08-07 19:15:03,143 ******* Epoch 36, Train Loss MSE 39.89, Train MAE 6.54 *******
2023-08-07 19:15:03,143 ******* Epoch 36, Val Loss MSE 48.30, Val MAE 7.02 *******
2023-08-07 19:15:05,230 ******* Epoch 37, Train Loss MSE 40.89, Train MAE 6.64 *******
2023-08-07 19:15:05,230 ******* Epoch 37, Val Loss MSE 42.87, Val MAE 6.64 *******
2023-08-07 19:15:07,269 ******* Epoch 38, Train Loss MSE 41.06, Train MAE 6.62 *******
2023-08-07 19:15:07,269 ******* Epoch 38, Val Loss MSE 68.62, Val MAE 8.64 *******
2023-08-07 19:15:09,447 ******* Epoch 39, Train Loss MSE 39.14, Train MAE 6.42 *******
2023-08-07 19:15:09,447 ******* Epoch 39, Val Loss MSE 104.70, Val MAE 10.83 *******
2023-08-07 19:15:11,397 ******* Epoch 40, Train Loss MSE 37.55, Train MAE 6.37 *******
2023-08-07 19:15:11,397 ******* Epoch 40, Val Loss MSE 41.38, Val MAE 6.34 *******
2023-08-07 19:15:13,623 ******* Epoch 41, Train Loss MSE 40.79, Train MAE 6.61 *******
2023-08-07 19:15:13,624 ******* Epoch 41, Val Loss MSE 37.97, Val MAE 6.14 *******
2023-08-07 19:15:15,616 ******* Epoch 42, Train Loss MSE 40.33, Train MAE 6.61 *******
2023-08-07 19:15:15,616 ******* Epoch 42, Val Loss MSE 38.14, Val MAE 6.21 *******
2023-08-07 19:15:17,588 ******* Epoch 43, Train Loss MSE 38.30, Train MAE 6.47 *******
2023-08-07 19:15:17,589 ******* Epoch 43, Val Loss MSE 57.73, Val MAE 7.95 *******
2023-08-07 19:15:19,631 ******* Epoch 44, Train Loss MSE 40.91, Train MAE 6.68 *******
